model,usercf_k,mf_k,w_usercf,w_mf,RMSE,MAE,rows
AllPair_Weighted_Ensemble,10,50,0.5,0.5,0.9461,0.7499,13586
AllPair_Weighted_Ensemble,5,10,0.4,0.6,0.9466,0.7505,13586
AllPair_Weighted_Ensemble,20,5,0.5,0.5,0.9467,0.7509,13586
AllPair_Weighted_Ensemble,10,100,0.5,0.5,0.9469,0.7513,13586
AllPair_Weighted_Ensemble,10,20,0.5,0.5,0.9472,0.7509,13586
AllPair_Weighted_Ensemble,100,5,0.5,0.5,0.9473,0.7533,13586
AllPair_Weighted_Ensemble,5,5,0.4,0.6,0.9485,0.7513,13586
AllPair_Weighted_Ensemble,50,50,0.6,0.4,0.9501,0.7542,13586
AllPair_Weighted_Ensemble,10,10,0.5,0.5,0.9504,0.754,13586
AllPair_Weighted_Ensemble,50,100,0.6,0.4,0.9506,0.7554,13586
AllPair_Weighted_Ensemble,50,20,0.6,0.4,0.9511,0.7551,13586
AllPair_Weighted_Ensemble,100,50,0.6,0.4,0.9518,0.7574,13586
AllPair_Weighted_Ensemble,10,5,0.5,0.5,0.952,0.7546,13586
AllPair_Weighted_Ensemble,100,100,0.6,0.4,0.9522,0.7582,13586
AllPair_Weighted_Ensemble,20,50,0.6,0.4,0.9529,0.7558,13586
AllPair_Weighted_Ensemble,100,20,0.6,0.4,0.9529,0.7581,13586
AllPair_Weighted_Ensemble,20,100,0.6,0.4,0.9534,0.7569,13586
AllPair_Weighted_Ensemble,20,20,0.6,0.4,0.9538,0.7566,13586
AllPair_Weighted_Ensemble,50,10,0.6,0.4,0.9543,0.758,13586
AllPair_Weighted_Ensemble,50,5,0.6,0.4,0.9556,0.7585,13586
AllPair_Weighted_Ensemble,100,10,0.6,0.4,0.9563,0.7611,13586
AllPair_Weighted_Ensemble,20,10,0.6,0.4,0.9567,0.7592,13586
AllPair_Weighted_Ensemble,5,50,0.5,0.5,0.9576,0.7589,13586
AllPair_Weighted_Ensemble,100,5,0.6,0.4,0.9577,0.7619,13586
AllPair_Weighted_Ensemble,20,5,0.6,0.4,0.958,0.7599,13586
AllPair_Weighted_Ensemble,5,100,0.5,0.5,0.9584,0.7602,13586
AllPair_Weighted_Ensemble,5,20,0.5,0.5,0.9585,0.7598,13586
AllPair_Weighted_Ensemble,10,50,0.6,0.4,0.9606,0.7613,13586
AllPair_Weighted_Ensemble,10,100,0.6,0.4,0.961,0.7624,13586
AllPair_Weighted_Ensemble,10,20,0.6,0.4,0.9616,0.7622,13586
AllPair_Weighted_Ensemble,5,10,0.5,0.5,0.9618,0.7627,13586
AllPair_Weighted_Ensemble,50,50,0.7,0.3,0.9634,0.7648,13586
AllPair_Weighted_Ensemble,5,5,0.5,0.5,0.9635,0.7636,13586
AllPair_Weighted_Ensemble,50,100,0.7,0.3,0.9635,0.7655,13586
AllPair_Weighted_Ensemble,50,20,0.7,0.3,0.9642,0.7655,13586
AllPair_Weighted_Ensemble,10,10,0.6,0.4,0.9643,0.7649,13586
AllPair_Weighted_Ensemble,100,50,0.7,0.3,0.9653,0.7683,13586
AllPair_Weighted_Ensemble,100,100,0.7,0.3,0.9654,0.7687,13586
AllPair_Weighted_Ensemble,10,5,0.6,0.4,0.9657,0.7655,13586
AllPair_Weighted_Ensemble,100,20,0.7,0.3,0.9662,0.7688,13586
AllPair_Weighted_Ensemble,50,10,0.7,0.3,0.9668,0.7678,13586
AllPair_Weighted_Ensemble,20,50,0.7,0.3,0.9674,0.7672,13586
AllPair_Weighted_Ensemble,20,100,0.7,0.3,0.9676,0.7679,13586
AllPair_Weighted_Ensemble,50,5,0.7,0.3,0.9678,0.7683,13586
AllPair_Weighted_Ensemble,20,20,0.7,0.3,0.9682,0.7679,13586
AllPair_Weighted_Ensemble,100,10,0.7,0.3,0.9689,0.7711,13586
AllPair_Weighted_Ensemble,100,5,0.7,0.3,0.97,0.7718,13586
AllPair_Weighted_Ensemble,20,10,0.7,0.3,0.9705,0.77,13586
AllPair_Weighted_Ensemble,20,5,0.7,0.3,0.9715,0.7705,13586
AllPair_Weighted_Ensemble,5,50,0.6,0.4,0.977,0.7743,13586
AllPair_Weighted_Ensemble,5,100,0.6,0.4,0.9774,0.7751,13586
AllPair_Weighted_Ensemble,10,50,0.7,0.3,0.9779,0.7748,13586
AllPair_Weighted_Ensemble,5,20,0.6,0.4,0.9779,0.775,13586
AllPair_Weighted_Ensemble,10,100,0.7,0.3,0.978,0.7756,13586
AllPair_Weighted_Ensemble,10,20,0.7,0.3,0.9787,0.7755,13586
AllPair_Weighted_Ensemble,50,50,0.8,0.2,0.9788,0.7769,13586
AllPair_Weighted_Ensemble,50,100,0.8,0.2,0.9788,0.7773,13586
AllPair_Weighted_Ensemble,50,20,0.8,0.2,0.9794,0.7774,13586
AllPair_Weighted_Ensemble,5,10,0.6,0.4,0.9807,0.7775,13586
AllPair_Weighted_Ensemble,100,50,0.8,0.2,0.9808,0.7805,13586
AllPair_Weighted_Ensemble,100,100,0.8,0.2,0.9808,0.7807,13586
AllPair_Weighted_Ensemble,10,10,0.7,0.3,0.9809,0.7777,13586
AllPair_Weighted_Ensemble,50,10,0.8,0.2,0.9812,0.779,13586
AllPair_Weighted_Ensemble,100,20,0.8,0.2,0.9815,0.7808,13586
AllPair_Weighted_Ensemble,10,5,0.7,0.3,0.982,0.7783,13586
AllPair_Weighted_Ensemble,50,5,0.8,0.2,0.982,0.7794,13586
AllPair_Weighted_Ensemble,5,5,0.6,0.4,0.9821,0.7783,13586
AllPair_Weighted_Ensemble,100,10,0.8,0.2,0.9834,0.7824,13586
AllPair_Weighted_Ensemble,100,5,0.8,0.2,0.9842,0.7831,13586
AllPair_Weighted_Ensemble,20,50,0.8,0.2,0.9843,0.7802,13586
AllPair_Weighted_Ensemble,20,100,0.8,0.2,0.9843,0.7807,13586
